2.2	2.48
2.48	8.54
8.54	8.73
8.73	9.05
9.05	9.34
11.98	12.43
15.74	17.33
18.09	22.68
22.68	23.6
23.86	26.36
26.36	34.08
35.21	35.86
35.86	36.83
42.02	43.71
50.41	50.84
55.21	55.86
56.24	58.21
58.57	59.54
67.54	68.26
80.72	80.99
81.61	83.27
83.27	83.58
84.6	85.58
101.47	102.04
102.33	102.99
104.93	106.44
107.34	108.74
110.39	111.33
116.67	119.64
127.49	128.07
131.61	132.09
148.57	149.26
149.26	149.95
149.95	152.65
152.65	155.92
155.92	156.36
156.36	158.71
158.71	162.42
162.42	163.79
163.79	164.29
164.29	165.09
165.09	165.53
165.53	167.27
167.27	167.78
167.78	168.36
168.36	169.04
169.04	171.46
171.46	172.28
172.28	172.9
173.75	174.7
175.09	176.88
176.88	177.32
178.28	179.03
179.38	180.42
