3.59	5.04
5.04	6.21
8.73	9.85
9.85	10.72
11.97	12.47
12.47	13.17
13.17	13.81
15.08	15.74
15.74	16.37
16.37	19.83
19.83	21.02
21.02	21.38
21.38	21.87
21.87	22.43
22.43	23.6
23.6	24.39
25.72	27.93
27.93	28.99
28.99	29.84
29.84	31.15
31.14	35.12
35.21	35.82
35.82	39.99
41.97	42.42
42.42	42.89
42.89	43.4
49.13	50.2
50.94	52.05
52.06	55.59
56.24	56.68
56.99	57.99
57.99	58.53
58.53	59.66
59.66	65.39
65.39	67.84
67.84	68.26
68.26	71.63
71.63	74.36
74.36	75.04
81.56	82.21
93.52	94.16
94.16	94.59
95.06	96.97
96.97	97.95
98.46	99.27
103.15	103.87
105.63	106.6
109.77	110.33
113.78	114.76
115.37	116.38
116.89	118.64
118.64	121.86
121.86	124.06
124.06	124.42
124.42	125.29
125.56	126.06
128.83	129.92
129.92	130.54
133.05	133.4
133.7	134.37
134.37	134.88
134.88	136.22
137.34	139.39
139.39	140.95
140.96	141.95
141.95	142.65
142.65	145.28
145.28	145.61
145.88	149.62
151.2	151.61
155.89	156.71
175.58	176.01
176.57	178.79
179.38	180.22
